TT	WAIT_CLASS	EVENT_	SQL_OPNAME	SQL_PLAN_OPERATION	SQL_PLAN_OPTIONS	SQL_ID	CNT
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	aw3kh5r15pnmq	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	COUNT	STOPKEY	9ac7scq121506	1
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	DELETE STATEMENT	EMPTY	cg1j28mh9sn83	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	6q3pqknamh795	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	fwnwyty72dvtd	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	2rjpytbjn2q8d	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	5m0ybfzxvqs5k	10
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	cgygh3k21vvht	45
17/12/2020 7:00:00	ONCPU	ONCPU	EMPTY	EMPTY	EMPTY		37
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	HASH JOIN	RIGHT OUTER	fgg0su12atubs	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	FOR UPDATE	EMPTY	d44mr6xk59667	7
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	FIXED TABLE	FULL	09tnw10j1g49t	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	9ac7scq121506	33
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	FULL SCAN	69jmxfn75u71d	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	cf6s09j9wh7jm	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	dmu1gn5wtkf7w	1
17/12/2020 7:00:00	Configuration	enq: SQ - contention	SELECT	SEQUENCE	EMPTY	cf6s09j9wh7jm	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	0wtjkqrngc6rm	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	6a3wnb306c231	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	1pyvzz71xspk9	5
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	DELETE	EMPTY	cg1j28mh9sn83	1
17/12/2020 7:00:00	Other	LGWR worker group ordering	EMPTY	EMPTY	EMPTY		2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	4dpyap7tn2mkz	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	b4bd37j1wq53g	4
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	1kc71ckqh7y80	9
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	9jmczpfdg46wp	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	dzghhc8mbp559	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	1kc71ckqh7y80	2
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	7wxra5mv44b31	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	ar2nsgwv7fvpj	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	buk77t0ab0zhq	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	cz2pmzabazp91	10
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	FILTER	EMPTY	9ac7scq121506	3
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	59c0zgmyvndt3	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	4akfgs9zxp90m	1
